Rank,Artist,Song,Released
1,Aretha Franklin,Respect,1967
2,Public Enemy,Fight the Power,1989
3,Sam Cooke,A Change Is Gonna Come,1964
4,Bob Dylan,Like a Rolling Stone,1965
5,Nirvana,Smells Like Teen Spirit,1991
6,Marvin Gaye,What’s Going On,1971
7,The Beatles,Strawberry Fields Forever,1967
8,Missy Elliott,Get Ur Freak On,2001
9,Fleetwood Mac,Dreams,1977
10,Outkast,Hey Ya!,2003
11,The Beach Boys,God Only Knows,1966
12,Stevie Wonder,Superstition,1972
13,The Rolling Stones,Gimme Shelter,1969
14,The Kinks,Waterloo Sunset,1967
15,The Beatles,I Want to Hold Your Hand,1963
16,Beyoncé feat. Jay-Z,Crazy in Love,2003
17,Queen,Bohemian Rhapsody,1975
18,Prince and the Revolution,Purple Rain,1984
19,John Lennon,Imagine,1971
20,Robyn,Dancing on My Own,2010
21,Billie Holiday,Strange Fruit,1939
22,The Ronettes,Be My Baby,1963
23,David Bowie,Heroes,1977
24,The Beatles,A Day in the Life,1967
25,Kanye West feat. Pusha T,Runaway,2010
26,Joni Mitchell,A Case of You,1971
27,Bruce Springsteen,Born to Run,1975
28,Talking Heads,Once in a Lifetime,1980
29,Dr. Dre feat. Snoop Doggy Dogg,Nuthin' but a 'G' Thang,1992
30,Lorde,Royals,2011
31,The Rolling Stones,(I Can't Get No) Satisfaction,1965
32,Notorious B.I.G.,Juicy,1994
33,Chuck Berry,Johnny B. Goode,1958
34,James Brown,Papa’s Got a Brand New Bag,1966
35,Little Richard,Tutti-Frutti,1955
36,The White Stripes,Seven Nation Army,2003
37,Prince and the Revolution,When Doves Cry,1984
38,Otis Redding,(Sittin' On) the Dock of the Bay,1967
39,Outkast,B.O.B.,2000
40,The Jimi Hendrix Experience,All Along the Watchtower,1968
41,Joy Division,Love Will Tear Us Apart,1980
42,Bob Marley and the Wailers,Redemption Song,1980
43,The Temptations,My Girl,1965
44,Michael Jackson,Billie Jean,1982
45,Kendrick Lamar,Alright,2015
46,M.I.A.,Paper Planes,2008
47,Elton John,Tiny Dancer,1972
48,Radiohead,Idioteque,2000
49,Lauryn Hill,Doo Wop (That Thing),1998
50,Daddy Yankee feat. Glory,Gasolina,2010
51,Dionne Warwick,Walk on By,1964
52,Donna Summer,I Feel Love,1977
53,The Beach Boys,Good Vibrations,1966
54,Smokey Robinson and the Miracles,The Tracks of My Tears,1965
55,Madonna,Like a Prayer,1989
56,Missy Elliott,Work It,2000
57,Sly and the Family Stone,Family Affair,1971
